id,title,author,year
63,Don't Look in the Basement!,Somerset Crayker,2004
64,Despicable Me,Natalina Morcomb,1999
65,Rebirth of Mothra,Hester Gaffer,2024
66,"Invisible Ray, The",Salaidh Swynfen,1986
67,The Girl from the Marsh Croft,Henri Yoskowitz,2015
68,Ivory Tower,Ced Longfoot,2011
69,Ingrid,Frank Garretson,1978
70,Shackleton's Antarctic Adventure,Engelbert Mapstone,1995
71,River of No Return,Agnes Cockitt,1985
72,Baggage Claim,Windy Sansun,1982
73,"Kid for Two Farthings, A",Bibby Yurikov,2024
74,Raising Arizona,Bartel Mann,2005
75,Implanted,Sissy Hailes,2023
76,"Hand of Peace: Pope Pius XII and the Holocaust, A",Rianon Keyzman,2002
77,Some Came Running,Karie Priestner,1993
78,Godzilla's Revenge (Gojira-Minira-Gabara: Oru Kaijû Daishingeki) (All Monsters Attack),Tomas Gudd,1975
79,Is It Easy to be Young?,Martin McCahill,2022
80,Diabolique,Shandra Elener,1987
81,"King of Texas, The",Christyna Dulwich,1978
82,Grey Gardens,Hedwig Shambrooke,1998
83,New York Doll,Molli Piggens,1991
84,Hounddog,Angus Witherby,1996
85,"Bigamist, The",Claudius Swinden,1993
86,Angel's Leap,Audy Bwy,2022
87,"Purge: Anarchy, The",Clim Avery,1977
88,"Temptress, The",Emma Annear,2022
89,Corner Gas: The Movie,Glynis Pentecost,2016
90,Runaway Bride,Orv Linklater,2018
91,Varsity Blues,Cassy Le-Good,1995
92,"Midnight (Primeiro Dia, O)",Meaghan Pexton,2003
93,Rooster's Breakfast (Petelinji zajtrk),Meg Berzon,1997
94,Jönssonligan - Den perfekta stöten,Estelle Boothe,1988
95,Delicatessen,Germaine Atlay,2015
96,Attack of the Crab Monsters,Kristoforo Pargent,1987
97,The Hanoi Hilton,Tedra Oakton,1994
98,Blue Steel,Rhodie Francello,1997
99,"Round Up, The (La Rafle)",Lura Kingdon,1981
100,By the People: The Election of Barack Obama,Marje Lathwood,2021
101,Novocaine,Kerwin Padrick,2008
102,Male and Female,Hurley Uzelli,2022
103,Week-End in Havana,Adah Cotmore,1976
104,Violet & Daisy,Sianna Probin,1981
105,Doc of the Dead,Carolynn Peto,1977
106,Blackmailed,Agna Pittendreigh,2011
107,Rigor Mortis (Geung si),Gill Ballintime,2016
108,Charlie Chan in City in Darkness,Terrill Ansty,1983
109,"New Jean-Claude, The (Le nouveau Jean-Claude)",Ezra Littell,1981
110,"Devil's Chair, The",Roarke Harrow,1993
111,"Gymnast, The",Jarrett Viant,1978
112,Santa Who?,Rosamund Whelpton,2003
113,Time Stood Still (Il tempo si è fermato),Xenos Kipping,1980
114,Haunter,Kennedy Renowden,1978
115,Whitey: United States of America v. James J. Bulger,Veronike Marjanski,2007
116,Alien Nation: The Udara Legacy,Julianna Tukely,1981
117,I Do,Hadrian Pressdee,2021
118,The Hallelujah Handshake,Jase Shoreson,1991
119,Lumiere and Company (Lumière et compagnie),Dillie Gagie,1990
120,Youth of the Son,Daphna Wibrew,1998
121,"Classe Tous Risques (Big Risk, The)",Emera Lockey,1998
122,Orphans,Willette Sacase,1975
123,Kid Cannabis,Marshall Winspire,2022
124,Love Letters,Jenica Westhead,2017
125,Wanted,Bealle Ivashkin,1976
126,Happiness (Schastye),Lucky Maddaford,1984
127,When Brendan Met Trudy,Carlie Dominighi,2002
128,Double Wedding,Nicol Connaughton,1990
129,Hangar 18,Roze Haggerstone,1994
130,Don't Look Back,Loren Hinkley,2022
131,Scorpio Rising,Amargo Fitchet,2014
132,Secrets of the Tribe,Ezmeralda Garroch,2011
133,"Golden Boys, The",Lenard Varian,2013
134,God's Not Dead,Gayleen Bound,2019
135,"Three Marias, The (Três Marias, As)",Aime Josilevich,2021
136,Patriot Games,Roby Stallen,2014
137,Dying of the Light,Konrad Perico,2015
138,Outpost,Nancy Mulderrig,1998
139,"Brony Tale, A",Elle Kehri,1989
140,Twelve Angry Men,Stanislaus McLoney,1989
141,Big Buck Bunny,Berta Pascall,2017
142,Josh and S.A.M.,Carin Goffe,2018
143,"Grey Zone, The",Lorene Witnall,2006
144,Don't Say a Word,Enrika MacConnechie,1988
145,Sasayaki (a.k.a. Moonlight Whispers) (Gekkô no sasayaki),Donelle Foxon,1987
146,Predator 2,Kathryne Kalvin,2002
147,"South, The (Sur, El)",Elinore Burkman,2014
148,McHale's Navy,Julie Coxwell,2000
149,"Hound of the Baskervilles, The",Peg Konrad,1996
150,Marriage Material,Kathrine Hamilton,2008
151,He Ran All the Way,Guillaume Bolam,1979
152,Isle of the Dead,Candace Braunfeld,2008
153,Frozen Hell (Jäämarssi) ,Ragnar Latore,1995
154,Capturing Mary,Erika Schulze,2012
155,After the Thin Man,Baryram Flaunders,2015
156,"Philadelphia Story, The",Glory Sitlington,2007
157,Northanger Abbey,Grover Udey,1975
158,My Mother's Courage (Mutters Courage),Leigha Fathers,2021
159,Indochine,Bertina Lutwyche,2004
160,"Trespasser, The",Sigvard Hanshaw,2011
161,Hannie Caulder,Osgood Vasyunin,1983
162,To Live (Huozhe),Kikelia Burk,2001
163,Middle Men,Maisie Coldwell,1987
164,Friends and Family,Nathanial Wynrehame,2013
165,Man to Man,Janie Garbutt,1981
166,Aprile,Burke Hehl,2011
167,The Private Life of Deer,Charmine Maton,2007
168,"Holcroft Covenant, The",Melody Hyde-Chambers,2024
169,"Fiancee, The (Parineeta)",Barbee Barke,1997
170, Days of Summer,Krystalle Bootherstone,2025
171,"Detective, The (C+ jing taam)",Marje Passfield,2004
172,Death of a Salesman,Shandie Aldgate,2001
173,Invisible Target (Naam yi boon sik),Rebekah Dougliss,2021
174,"Fox, The",Klara Freiburger,2023
175,The Substitute 2: School's Out,Alfy Deares,1986
176,A Smoky Mountain Christmas,Alexandra Jayume,2019
177,Dragon Inn (Sun lung moon hak chan),Bibby Wimsett,1975
178,Homevideo,Gothart Parnby,2012
179,Perifery (Härmä),Harriette Sancroft,1976
180,Godsend,Corina Storrier,2011
181,"Corsican File, The (L'enquête corse)",Sela Grasha,1983
182,Kabul Express,Jecho Liddle,2000
183,Tower Heist,Adoree Franzen,2021
184,Lloyds of London,Elisabetta Kincey,1990
185,"Freshman, The",Jenica Tabart,2022
186,Big Animal (Duze zwierze),Adam Samet,2023
187,Tales of Terror,Amber Rosengart,1991
188,"Flintstones in Viva Rock Vegas, The",Justinian Salatino,1975
189,"Alice, Sweet Alice (a.k.a. Communion) (a.k.a. Holy Terror)",Bunny Landman,1981
190,Pretty Cool,Papagena Bottinelli,1994
191,Nameless Gangster (Bumchoiwaui junjaeng),Hettie McCaig,1990
192,Tom Jones,Willamina Finessy,1997
193,Iron Eagle II,Angelico Spurret,2019
194,I Was A Communist for the FBI,Abner Conew,1992
195,"English Surgeon, The",Martita Kroin,2023
196,12:08 East of Bucharest (A fost sau n-a fost?),Cordy Yea,1989
197,Nightmares in Red White & Blue: The Evolution of the American Horror Film,Nariko Levermore,1984
198,Cuban Fury,Guillaume MacDiarmond,1983
199,Confessions of a Pop Performer,Inger Kasper,1990
200,How to Be a Man,Birdie Lardeux,2013
201,Killer Elite,Fredelia Zannelli,2015
202,Toy Story 3,Jaymie Heinish,2007
203,To Rome with Love,Dionis Boeck,2019
204,Eddie and the Cruisers II: Eddie Lives!,Darb Osgar,1987
205,I Can't Sleep (J'ai pas sommeil),Alic Sinncock,1985
206,Born on the Fourth of July,Wilhelmina Junifer,2017
207,The Pacific,Templeton Gossan,2013
208,40 Guns to Apache Pass,Sella Webburn,1988
209,Hot to Trot,Brantley Duffitt,1999
210,"Chipmunk Adventure, The",Averil Buckston,1992
211,Joy of Sex,Glennis Kiessel,1977
212,"Codes of Gender, The",Bobbie Giannini,2014
213,Bossa Nova,Giacobo Zammett,2004
214,Decoding the Past: Secrets of the Koran,Lorraine Ruffles,2018
215,Four more years (Fyra år till),Enrika Langmead,1978
216,Unbeatable (Ji zhan),Ezmeralda Godsal,2002
217,Hotel Terminus: The Life and Times of Klaus Barbie (Hôtel Terminus),Wilhelmina Parsons,1991
218,Trans-Europ-Express,Tore Hanny,1977
219,Hands Across the Table,Goldina Hallstone,2018
220,Big Boys Gone Bananas!*,Sandy Gludor,2020
221,Carbine Williams,Carmon Alred,1994
222,Temptation of a Monk (You Seng),Marge Gascoyne,1996
223,Ladybug Ladybug ,Ginni Bothe,1984
224,Dust,Ann-marie Qualtrough,2004
225,"Bat Whispers, The",Cathi Eisikowitch,2008
226,"Anna Nicole (Anna Nicole Smith Story, The)",Ivett Stearne,1984
227,Man on the Flying Trapeze,Astrix Manston,2018
228,Zus & Zo,Anastassia Barkway,1976
229,Zoo,Ashla Wanek,2020
230,Night Flight,Granger Schelle,1987
231,Two Bits,Bobby Hawk,1991
232,Kwik Stop,Quentin Gibson,1979
233,The Arrival of Wang,Joshia Stoeck,2024
234,Doctor Detroit,Virgilio Cassin,1977
235,Teddy Bear (Mis),Georgie Ferguson,1984
236,"Greater Promise, A (Iskateli Schastya)",Stephie Kissick,1981
237,The Trans-Atlantic Mystery,Gardener Coke,2014
238,Fall of the Republic: The Presidency of Barack H. Obama,Glenine Vuitte,2014
239,Zouzou,Billy Nelson,2004
240,Coherence,Hans Bruckmann,2011
241,Envy (Kiskanmak),Barty Kidwell,1985
242,Stand-In,Norton Eilert,1994
243,Intouchables,Victoria Spaice,2023
244,Harem suare,Wynn Salle,2006
245,Vassilisa the Beautiful (Vasilisa prekrasnaya),Eberhard Brecknock,1979
246,"Comedians of Comedy, The",Adriano Muckart,1983
247,Adam's Rib,Freida Arnao,2011
248,"Gazebo, The",Andriana Feenan,1999
249,Gracie,Lari Pauer,2022
250,Bird,Esme Patillo,2022
251,"Phantom of Liberty, The (Fantôme de la liberté, Le)",Verge Hardaway,2017
252,A Mulher Invisível,Oliver Potteridge,1989
253,"Lucía, Lucía (Hija del caníbal, La)",Carr Kilbourne,1985
254,Mishen (Target),Jamie Fallon,1989
255,"Deadly Trap, The (La maison sous les arbres)",Brande Mowson,2006
256,Star Trek III: The Search for Spock,Lorene O'Meara,2018
257,Against The Sun,Fowler Blasing,2017
258,Werckmeister Harmonies (Werckmeister harmóniák),Brendis Oakley,1984
259,All About Eve,Rutledge Kurton,2012
260,"Task, The",Kalina Drogan,2024
261,Forever Strong,Doug Pallent,2009
262,Grateful Dawg,Taber Bewshire,2015
263,"Anna Nicole (Anna Nicole Smith Story, The)",Roze Godleman,1999
264,It's a Gift,Gabie Gwillim,1986
265,"Landlord, The",Jeramey Rogan,1992
266,Boiler Room,Virgil Mariault,1995
267,"Goddess, The (Shen nu)",Austine Andreucci,1980
268,You Will Be My Son (Tu seras mon fils),Jamil Beamiss,2019
269,Animal Kingdom,Charleen Alliban,1995
270,Marriage Retreat,Grenville Lindberg,2009
271,Turkish Passion (La pasión turca),Willyt Chasmer,1978
272,Battlestar Galactica: Razor,Thorndike Uccelli,2017
273,Zombie Girl: The Movie,Arlyne Muzzillo,2005
274,"White Diamond, The",Tobias Verman,1975
275,Unstrung Heroes,Terza Nabarro,2001
276,Bang,Perrine Cerie,1977
277,On Deadly Ground,Glori Mollnar,2010
278,Herbie Rides Again,Jessamine Cottom,1981
279,"Education of Little Tree, The",Odie Ganley,2005
280,More,Addison Wakelam,1987
281,Xingu ,Sheffie Nibley,1998
282,"Final Conflict, The (a.k.a. Omen III: The Final Conflict)",Cris Sinson,1994
283,"Makioka Sisters, The (Sasame-yuki)",Emmalyn Hurkett,1981
284,Beauty in Trouble (Kráska v nesnázích),Kenn Perfili,1986
285,Farmer & Chase,Jackie Craigheid,1978
286,Quarantine 2: Terminal,Pandora Cunningham,1981
287,The Case of the Lucky Legs,Courtney Lorans,1985
288,Poultrygeist: Night of the Chicken Dead,Gabriellia Kerr,2013
289,"Clay Bird, The (Matir moina)",Junie Riach,1977
290,Iron Island (Jazireh Ahani),Lucien Cricket,2004
291,Bad Luck (Zezowate szczescie),Wilden Scougal,1980
292,Everything I Can See From Here,Charity Lys,2023
293,"Man Who Shot Liberty Valance, The",Loy Sabbatier,1979
294,Enlighten Up!,Agretha Roston,1994
295,Kambakkht Ishq (Incredible Love),Lorrie Hogsden,2013
296,Teenage,Dylan Giercke,2010
297,Goon,Welch Murphey,2017
298,"Brotherhood, The",Carmelina Millins,1992
299,If These Walls Could Talk,Itch Klebes,2024
300,Armadillo,Orland Blackaller,2007
301,Dark Forces (Harlequin),Bar Meikle,1992
302,"Sunshine Boys, The",Inge Barmby,2022
303,Harrison's Flowers,Estella MacMenamy,2015
304,Effie Gray,Rudolph Tapton,1984
305,It Conquered the World,Brandtr Learmonth,1983
306,Main Street,Gan Murra,1984
307,Reflections in a Golden Eye,Ev Marrow,2023
308,Red Riding: 1980,Carling Bamlett,1975
309,Dead Rising: Watchtower,Lorette Dorsey,2021
310,World Traveler,Susie Jacobs,2000
311,"Book of Fate, The (Kohtalon kirja)",Aldis Davis,2008
312,Couples Retreat,Cordelie Burrow,2023
313,Rise of the Guardians,Dorothy Toft,1988
314,"Letter to Momo, A (Momo e no tegami)",Vannie Kent,2015
315,"Cannonball Run, The",Cristine Olkowicz,2002
316,"Horde, The (La Horde)",Corbie Ashpital,1975
317,Veer Zaara,Clayson Gumbley,1992
318,King Ralph,Darrell Pender,2019
319,Sir Arne's Treasure,Reece Tancock,1986
320,Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira),Etheline Corps,2012
321,Al-risâlah,Karin Skegg,1997
322,TT3D: Closer to the Edge,Curtis Mc Ilory,2000
323,House at the End of the Street,Hayley Pinson,1991
324,Pale Cocoon (Peiru Kokun),Duffie Provost,1981
325,Ring of Darkness,Simonne Manhood,1983
326,Jason X,Reggie Formie,2008
327,"All the Way Boys (Più forte, ragazzi!)",Dorothy Neubigin,1978
328,Steel Dawn,Brice Creavan,2003
329,Phantom,Steffen Matten,2016
330,Resan Till Melonia,Orelle Portlock,2012
331,"Rat Savior, The (Izbavitelj)",Averill July,1978
332,Camilla,Jard Sandilands,1984
333,Police,Farly Roch,2003
334,Tromeo and Juliet,Spence Pendall,1991
335,Good Neighbor Sam,Diena Durnian,2022
336,Pawn Shop Chronicles,Alexina Halliburton,2018
337,Unfair Competition (Concorrenza sleale),Malissa Bawle,1999
338,Riley Rewind,Pip Bowich,1991
339,Merry Christmas Mr. Lawrence,Kally Dwerryhouse,2015
340,Catch-22,Tally Jaram,1988
341,Divorce - Italian Style (Divorzio all'italiana),Winfield Spruce,1997
342,Thieves' Highway,Jamie Van Arsdalen,1980
343,"It's the Easter Beagle, Charlie Brown!",Foss Knowlson,1978
344,"Paris, Texas",Gabi Gribben,2023
345,Killer Elite,Pru Mitchelmore,1993
346,Slipstream,Danie Turmel,2020
347,Robin-B-Hood (Bo bui gai wak),Maridel Duckham,2017
348,New Jack City,Pren Moline,1986
349,Amityville 1992: It's About Time,Dell McPhillimey,1994
350,"Dream Catcher, The",Benedetta Smidmore,1995
351,Reclaim,Tyrus Nairy,1987
352,Steel,Portia Saunt,1977
353,Shadowzone,Sibylle Linkie,2024
354,Shutter,Luke Dyter,2007
355,Beautiful Ohio,Idaline Shane,1977
356,Body/Cialo,Tedra Jeskins,1979
357,Breaking the Silence: Truth and Lies in the War on Terror,Maegan Hawe,1982
358,Penthouse North,Adora Creagh,1981
359,Alien Escape,Darcy Livzey,1977
360,Guardians of the Galaxy,Vitoria Fishenden,1990
361,Barcelona,Isabelita Vallentin,2010
362,Breaking Upwards,Sven Jenkin,2023
363,Backfire,Jackqueline Mc Menamin,2024
364,Raising Arizona,Brady Clubbe,2025
365,Hellraiser: Inferno,Dougy Graham,2020
366,Marc Maron: Thinky Pain,Kordula Krochmann,1991
367,Halloween,Bryna Boorn,2013
368,"Duel at Silver Creek, The",Tabor Pollendine,1992
369,Kelly & Cal,Joela Lynd,1987
370,Life Is a Long Quiet River (La vie est un long fleuve tranquille),Ellary Greason,1977
371,Excuse My Dust,Patrice Tremouille,1986
372,Strike (Stachka),Yorgos Hazard,1984
373,"Passion of Anna, The (Passion, En)",Clyde Djorvic,2014
374,Jean-Luc Cinema Godard,Menard Tothe,1988
375,"Last Flight of Noah's Ark, The",Jennilee Zettoi,1984
376,Lee Daniels' The Butler,Francesco Roger,2003
377,Not of This Earth,Feodora Humbert,2015
378,Hollywood Ending,Coleman Swindley,2002
379,Eureka (Yurîka),Phillie Sambrook,1977
380,"Me Two (Personne aux deux personnes, La)",Amberly Howarth,2022
381,Black Orpheus (Orfeu Negro),Gayler Nasi,2021
382,Seeking a Friend for the End of the World,Tamma Lettson,1995
383,Escape from Fort Bravo,Felike Simko,2010
384,Far Cry,Gray Borrett,1980
385,Get on the Bus,Dreddy Ensor,2012
386,"Temptress, The",Druci Curro,1983
387,Dear Pillow,Berky Blatcher,2025
388,Yankee Zulu,Tobye De Courtney,1984
389,Starship Troopers 2: Hero of the Federation,Gavin Dessent,2003
390,"Century of Cinema, A",Kerwin Stabbins,2018
391,Casa de los babys,Oralia O'Daly,2025
392,Treasure Island,Bayard Sansun,2008
393,More Dead Than Alive,Colby St Quenin,1998
394,The Pee-Wee Herman Show on Broadway,Herrick Birchall,2017
395,Man of the West,Richmound MacGiolla Pheadair,2011
396,Tennessee,Isabeau Kolczynski,2003
397,Bachelor Mother,Dasya Epine,1988
398,Fantastic Four: Rise of the Silver Surfer,Helaina Fenby,2015
399,Tales of the Grim Sleeper,Sandy Dodshon,1980
400,"Prince of Central Park, The",Em Davitti,2013
401,Cool Runnings,Leigha Skayman,2001
402,"Hills Have Eyes, The",Issiah Babidge,2020
403,Angel,Janice Bridges,1984
404,Shane,Ray Rayhill,1980
405,Human Resources (Ressources humaines),Gilberta Adolfson,1976
406,"Notebook, The (A nagy füzet)",Peyter Duke,2002
407,Amy,Megen Fludgate,1992
408,"Big Heat, The",Nickie Ibbett,2005
409,The War at Home,Chad Sauter,1985
410,The Menacing Eye,Terrance Careswell,1998
411,Les invincibles,Brittne Crumly,2017
412,Shelter,Kiah Brickham,1980
413,Brunet Will Call (Brunet wieczorowa pora),Roselia Corselles,1988
414,Terms and Conditions May Apply,Miquela Nawton,2013
415,Adrift in Tokyo (Tenten),Zedekiah Buxcey,1999
416,Silent Fall,Mead Sinnock,1983
417,Lord of War,Mercie Walcot,2015
418,"Keys to the House, The (Chiavi di casa, Le)",Bink Elsdon,1988
419,"Long Weekend, The",Efren Du Hamel,1994
420,Our Mother's House,Stafani Bradneck,2005
421,My Life Without Me,Aliza Hinsch,1980
422,Dean Spanley,Melli Marsters,1985
423,Anything Else,Cory Balducci,1983
424,First Squad: The Moment of Truth,Sibylle Gregine,1986
425,One Night Stand,Desmond Ulyatt,1990
426,Extreme Movie,Delphinia Eshelby,1984
427,American Hardcore,Cirillo Gallafant,1986
428,Men Without Women,Demetria Mochan,2019
429,Sink the Bismark!,Seline Huyton,2011
430,Faith School Menace?,Hortense Deniso,1982
431,Lloyds of London,Andrus Bagworth,2006
432,Poolboy: Drowning Out the Fury,Ferguson Blown,2000
433,Hogfather (Terry Pratchett's Hogfather),Mandi Purdom,1989
434,Fulltime Killer (Chuen jik sat sau),Mair Tandy,2012
435,Just the Ticket,Wilhelmina Dumblton,2019
436,Camino,Corie Gabbotts,2004
437,About Time,Ailis Whoston,2004
438,Monsieur Lazhar,Cesaro Bembrigg,2024
439,All About Actresses (Le bal des actrices),Daniele Orneles,2012
440,Necessary Roughness,Peterus Pyle,1978
441,Big Stan,Odessa Bartolomucci,1983
442,"War Wagon, The",Pierce Gobbett,1990
443,Going in Style,Kirsteni Gooms,2025
444,"Addiction, The",Vincents Scouse,1999
445,Tess of the Storm Country,Morlee Rosentholer,2006
446,Madame Rosa (La vie devant soi),Nikolai Hebbard,1997
447,Punksters & Youngsters (Punk - Tauti joka ei tapa),Papageno Ruggs,2001
448,Sudden Manhattan,Shadow Braybrook,2015
449,Deadly Advice,Rod Radbourne,2008
450,MacGruber,Bonny Yakuntzov,1995
451,Night Editor,Odette Hamnet,2015
452,A Walk in the Woods,Vicky Cannavan,1983
453,We Feed the World,Vincenz Ede,1993
454,First Family,Stanislaus O'Mullaney,1995
455,Head Above Water,Jamey Spieght,2021
456,"Grave Decisions (Wer früher stirbt, ist länger tot)",Farrand Mathwin,2021
457,A Night at the Movies: The Suspenseful World of Thrillers,Andie Kohlert,2005
458,For the Love of Movies,Tiffi Sherrett,2025
459,Eerie Tales (Unheimliche Geschichten),Tiertza Petyanin,1984
460,Love Torn in Dream (Combat d'amour en songe),Halie Bloomfield,1985
461,It Runs in the Family,Ardella Lotte,2012
462,7 Days (Les 7 jours du talion),Rowney Goulding,1986
463,I Give It a Year,Cam Dagworthy,1991
464,"Midnight Clear, A",Grissel Latliff,1986
465,"Killers, The",Star Ogus,1980
466,Jimi Hendrix,Bert Roust,1982
467,"Sea Gull, The",Elfreda Kingsley,2024
468,"Hounds, The",Vinny Alleburton,2019
469,Anything Else,Berny Wheldon,1993
470,That Touch of Mink,Caralie Bleesing,1992
471,Sound and Fury,Jarred Pelzer,1998
472,Johnny Express,Fons Le Sarr,2015
473,"Warrior and the Sorceress, The",Arly Fenney,1986
474,Breakout,Hobey Diego,2015
475,Our Town,Ollie Niccolls,2008
476,Karla,Enriqueta Armstrong,2025
477,La Bandera,Bordy Freda,1985
478,Le crocodile du Botswanga,Ray Burdus,2014
479,Condition Red (Beyond the Law),Ashli Haggus,1997
480,"Terminator, The",Kimble Handrock,2001
481,Mr. Kinky,Inger Songest,2009
482,Something Wild,Myrtia Stienham,1999
483,"Wipers Times, The",Seka Suttaby,1997
484,Blondie Knows Best,Udall Pellamont,1981
485,Black Magic (Meeting at Midnight) (Charlie Chan in Meeting at Midnight) (Charlie Chan in Black Magic),Olive Baggot,1992
486,Emmet Otter's Jug-Band Christmas,Odelia Cannan,1999
487,Blue Collar Comedy Tour: The Movie,Kath Walklett,1978
488,Werner - Das muss kesseln!!!,Errick Ainscough,2004
489,Troop Beverly Hills,Ashley Topling,2005
490,Rosario Tijeras,Fremont Goldis,1999
491,"Wave, The",Gretchen Fellona,2002
492,You'll Never Get Rich,Junette Flounders,2004
493,Zach Galifianakis: Live at the Purple Onion,Giulia Testo,1979
494,"House of the Devil, The",Clayborne Axtens,2014
495,"Day of the Jackal, The",Curran Skippon,2014
496,Letters to God,Sioux Turton,1976
497,Accident (Yi ngoi),Klaus Tebbs,2005
498,Passenger 57,Arabela Matveyev,1993
499,Berlin Alexanderplatz,Juanita Baszniak,2015
500,Fracture,Petey Ruxton,2024
501,Hells Angels on Wheels,Casar Detoc,2023
502,In the Realm of the Senses (Ai no corrida),Nathanael Archbald,1983
503,Stop at Nothing: The Lance Armstrong Story,Yankee Langsdon,2017
504,2012,Celia Schoular,1993
505,"Runner, The (Davandeh)",Merline Raynor,2015
506,"Animatrix, The",Arline Morgon,1995
507,The 39 Steps,Celie Clucas,2021
508,Running Scared,Tye Behrend,1981
509,Tulpan,Odo Coad,2009
510,"Blue Angel, The (Blaue Engel, Der)",Adolphus Folshom,2022
511,Nina Frisk,Kathi Pietz,2014
512,Call Me Kuchu,Fay Trewhella,2008
513,Pépé le Moko,Audi Snashall,1984
514,Mary and Martha,Dee dee Klimkovich,2004
515,Set It Off,Irena Ryson,2001
516,Blue in the Face,Rosy MacCartair,2024
517,Bitter Sweet,Deeann Vanichkin,1981
518,Model,Lindie Kleinsmuntz,2019
519,Phat Beach,Blane Sans,2010
520,Boxing Gym,Tim Antushev,1987
521,"Anna Nicole (Anna Nicole Smith Story, The)",Adolphe Trounson,2015
522,Fear and Trembling (Stupeur et tremblements),Deloris Aloigi,2016
523,Arn: The Kingdom at Road's End (Arn: Riket vid vägens slut),Roddie Pettyfer,2005
524,Saving Grace,Alysa MacCallum,1982
525,Kinky Boots,Talyah Kampshell,2011
526,"Other Side of Midnight, The",Sherlock Early,2019
527,Listy do M.,Jeanie Geertsen,2010
528,"Man from Nowhere, The (Ajeossi)",Fawne Bowle,2021
529,Flashdance,Tab Bradly,2023
530,44 Minutes: The North Hollywood Shoot-Out,Connie McMinn,1976
531,Illegal Tender,Maribelle Necolds,1996
532,The House on 56th Street,Windy Maciak,1984
533,Dark Ride,Darsey Bollen,2003
534,Tokyo Zombie (Tôkyô zonbi),Jere Mayoral,2008
535,Parked,Stormie Borell,1991
536,Beautiful Losers,Maurits Longina,2004
537,Expect No Mercy,Theresa Nucator,1978
538,Cazuza - O Tempo Não Pára,Mischa Hardey,1978
539,The Deep Six,Irv Trusty,2023
